MovieID;Title;Genre;ReleaseYear;ReleaseDate;Country;BudgetUSD;US_BoxOfficeUSD;Global_BoxOfficeUSD;Opening_Day_SalesUSD;One_Week_SalesUSD;IMDbRating;RottenTomatoesScore;NumVotesIMDb;NumVotesRT;Director;LeadActor
26;Seem into beyond;Comedy;1998;12/12/1998;USA;673415118;1396708526;2037154433;322950273;629750922;52;54;1520;1312;Faith Franklin;Melissa Cunningham
27;Bad side;Drama;1970;16/5/1970;USA;202479903;312080368;450688052;37403896;125660558;69;93;1446;216;Abigail Robles;Diane Jacobs
28;Second;Romance;2007;4/6/2007;USA;246935008;127340522;246935008;2560575;72768516;56;41;571;58;Robert Webster;Christopher Tucker
29;Character institution good thousand;Sci-Fi;1990;5/6/1990;USA;345830482;554899092;964431366;73708651;256999524;93;90;4652;1610;Chad Koch;Valerie Dennis
30;Professor either;Drama;2020;13/6/2020;USA;123821099;412223093;605955417;118371603;185805262;86;85;7629;404;Jacqueline Briggs;Melissa Mcgee
31;Model station;Action;1996;21/9/1996;USA;117214181;148292954;228261288;20060395;68091704;93;80;239;3468;Jerry Owens;Amanda Jenkins
32;Dinner;Action;2019;31/10/2019;USA;391319111;687810593;1033333203;205769907;329554301;55;63;2201;1023;Oscar Santos;William Ramirez
33;From cold law;Comedy;2013;2/7/2013;USA;4171378;66481279;1409133115;153487098;306762423;59;67;1374;50;Megan Sharp;George Green
34;Character return;Drama;2021;3/4/2021;USA;10795063;33801802;4959803;7586517;16485074;74;74;26678;112;Barbara Torres;Lorraine White DDS
35;Draw trade;Drama;2021;15/8/2021;USA;100000;11565478;19362256;3382366;5085338;67;78;4570;1065;Karen Smith;Thomas Sims
36;Exist put simply;Horror;2018;20/11/2018;USA;243047062;592717749;1203904795;121156788;261059855;57;56;2839;141;Bryan Murray;Becky Dean
37;Region region;Drama;2003;3/8/2003;Australia;209430714;502048193;91662737;73804791;206156372;49;55;8011;122;David Charles;Danny Kline
38;Can shoulder;Thriller;2017;18/2/2017;USA;6447018012;466790518;9676812394;607496337;2221847545;42;27;265;21363;Renee Campbell;Mark Jones
39;Above dog;Action;1985;14/12/1985;UK;1807821843;1597786471;2481886859;179531733;77442969;77;78;4232;69;Sara Higgins;James Nichols
40;Record stay lead;Sci-Fi;2011;17/4/2011;USA;657422967;438407574;967513229;103464432;233981682;49;57;2630;149;Albert Phillips;Victoria Phillips
41;Bank government year;Romance;1993;12/4/1993;USA;114419837;225852834;340412313;53876177;114616566;42;47;4131;9710;Sophia Gomez;Pamela Lopez
42;Sing office hair;Sci-Fi;2009;31/5/2009;UK;134036437;283208113;469230866;75906394;122752414;84;80;3000;73;Michael Richards;Lucas Collins
43;Head lay;Drama;2015;26/7/2015;USA;155634037;433153019;678388736;77583356;191048432;59;71;3443;50;Robin Hooper;Jeffrey Smith
44;Majority;Horror;2019;8/8/2019;France;18163825;4440913;64741282;11517315;24681043;82;100;167;61;Hannah Camacho;Jason Mercer
45;Message bed behind;Drama;2012;25/3/2012;USA;43530957;128617795;210733711;26741905;59125788;41;42;11862;58;Daniel Brown;Valerie Dennis
46;Official possible;Action;2025;17/3/2025;India;1613435903;1825433762;3379020823;438658646;867531125;71;61;3080;330;Claudia Smith;Ryan Hood
47;Example center man;Drama;2003;25/5/2003;USA;377840222;580168255;1432198304;109006413;260456173;73;78;1304;197;Judy Walker;William Crawford
48;Head team onto model;Drama;2011;24/5/2011;Australia;1434551559;2234057944;3625751261;535019461;915123382;96;87;280;986;Robert Hendricks;Melissa Morales
49;Finish;Thriller;2012;14/11/2012;India;167967757;465319668;717048462;69828569;202479394;88;92;4950;149;Seth Whitehead;Kathy Marshall
50;Right;Comedy;1993;25/4/1993;USA;292961232;363067353;542442542;37954957;156372625;66;61;4726;1206;Faith Franklin;Mckenzie Perez
51;Dog improve perhaps;Comedy;1994;20/12/1994;India;1653872561;1987038245;3675224131;578416909;117769846;48;30;4177;302;Jennifer Willis;Daniel Hughes
52;Strong son travel;Drama;1974;7/1/1974;India;386611713;949347711;1573816174;238524649;486244747;37;33;1159;759;Mary Mitchell;Jason Chavez
53;Those arm action;Comedy;2018;9/4/2018;USA;127792748;13426717;226416318;33179625;77807836;57;54;579;853;Andrew Chambers;Brandon Mcguire
54;Perhaps much enjoy;Comedy;1998;22/11/1998;India;2443635419;1526898918;295517705;259930741;815343842;79;80;89519;15686;Michael Richards;Tricia Thomas
55;Difficult success organization;Action;2000;11/12/2000;USA;69125828;178749532;333277516;33377273;78563186;72;74;125;6518;Daniel Brown;Patricia Ramirez
56;Usually push;Comedy;1990;3/6/1990;USA;52035431;30066711;52035431;5149464;16153027;74;77;2281;222;Heidi Cisneros;Robert Walker
57;Bring tonight early;Thriller;2024;25/5/2024;USA;123486597;150872269;293439805;26567735;7220625;59;55;53650;2321;Michael Chung;Casey Collins
58;Run statement population;Comedy;1950;8/12/1950;USA;149753058;3082387;547411254;32804651;16177425;45;50;10178;1341;Abigail Robles;Michelle Thomas
59;Issue put yes;Comedy;2000;19/4/2000;USA;292756218;746116088;1115247079;76457861;401723965;67;88;8358;448;Paul Rogers;Dominique Aguirre
60;Carry section;Action;1991;26/3/1991;USA;956913387;101376775;1799720837;120513852;548979911;46;44;186;1506;Carolyn Schwartz;Mark Morris
61;Either this now;Drama;2009;17/12/2009;USA;46329142;72069904;16939975;17575135;39287301;52;37;234;2301;Jason Jones;Eric Cooper
62;Return speech;Documentary;2010;8/12/2010;UK;384686514;242686414;566103809;60546433;112786854;64;55;1415;465;Jennifer Henry;Catherine Willis
63;Subject next per;Comedy;2003;26/4/2003;USA;533136942;1132433214;1646235905;206018992;520820497;75;82;10760;50;Donna Hall;Christopher Hurst
64;Education professor four;Thriller;2012;19/3/2012;USA;747192979;1438882355;23901529;366054781;582341521;68;72;116;854;Anthony Rowland;Cassandra Dennis
65;Program ago;Romance;2019;25/8/2019;USA;82149573;37727653;82149573;9336914;15546937;62;58;106;4205;Adam Brown;George Green
66;Owner four four;Drama;1967;4/5/1967;USA;4387979856;5952082782;1302452812;650334925;2840473285;42;29;1362;381;Philip Simmons;Joseph Leon
67;Until government;Drama;2011;28/11/2011;India;519420439;609510798;948228329;63302943;285697463;8;87;3197;885;Ryan Tate;Darren Jones
68;Four forget today;Horror;1965;7/11/1965;USA;602001498;365960097;602001498;46590855;218445152;43;47;2379;6081;Andrew Chambers;Christopher Hurst
69;Change think create;Drama;2003;28/9/2003;Australia;302341308;500838437;82192342;127072959;212888723;51;54;1796;3796;Melanie Olson;Douglas Davis
70;However whom;Action;1978;25/8/1978;USA;3151057;73324718;133547781;19039112;33429666;82;97;408;303;Jennifer Miller;Alexander Haley
71;Form floor thank;Comedy;2006;27/5/2006;USA;1049634914;1349871088;1945486094;293479768;765680677;83;78;4494;2286;Darlene Murphy;Sharon Brady
72;Response main;Sci-Fi;1990;19/4/1990;China;4253996869;2653954608;6548645326;744521832;1449521529;46;38;59537;332;Kevin Green;Sandra Farmer
73;Believe TV past;Drama;1989;18/8/1989;USA;920072094;847030935;1927176169;140146941;472478137;63;55;8238;747;David Hall;Sierra Brooks
74;Vote;Drama;2025;3/9/2025;UK;219296086;126712429;267285342;28263344;64617521;68;69;30377;191;Sophia Gomez;Valerie Dennis
75;Think exactly;Action;1978;20/11/1978;USA;325370272;188842264;325370272;4321169;87141704;41;28;4483;3266;Dr. Jonathan Long;Sarah Nelson
76;Power find;Action;1992;26/10/1992;USA;61808219;177351107;26114597;42237921;100445538;82;84;1363;156;James Cross;Mrs. Margaret Smith
77;Market one;Action;2007;19/9/2007;France;449942046;845627782;1942044104;175729942;442914952;75;83;9695;854;David Rosales;Timothy George
78;All hot;Comedy;2019;17/1/2019;USA;117940739;213209019;401971921;33257546;125559742;61;80;337;8294;Jeffrey Neal;Ashley Pena
79;Wide clearly provide;Romance;1983;16/8/1983;USA;94313166;185142169;271402377;29682888;76110432;62;73;21230;66;Karen Smith;Melissa Cain
80;Sense relationship leader;Horror;2018;8/1/2018;India;128192903;237610025;418456619;59584923;115350925;81;77;172;406;Francisco Ford;Mark Jones
81;Discuss result;Romance;2005;6/7/2005;USA;322302068;644209312;1278460243;68447283;310080015;57;39;2893;87;Jennifer Willis;Amber Willis
82;Away bring;Horror;1968;23/3/1968;USA;615722971;1309582313;2583927939;390025343;74047653;68;58;224;281;Matthew Beck;Kimberly Ramirez
83;Fall structure;Drama;1980;13/6/1980;Canada;2397491209;2155274482;4364974073;579847048;959986155;67;77;2369;3907;Matthew Beck;Seth Smith
84;Physical say face within;Romance;1963;15/6/1963;USA;318558908;437211847;914691626;115457697;236588183;82;84;842;9880;Karen Barrett;Samantha Vargas
85;Under push evening;Documentary;2025;9/10/2025;USA;265831595;412164399;978393841;106869428;244289272;6;72;1736;854;Mr. Jorge Anderson;Lorraine White DDS
86;Around night;Comedy;2001;31/10/2001;USA;2473853255;4194141988;6276632938;677552927;1902579883;73;82;6899;1326;David Rosales;Dawn Blake
87;Focus investment her;Horror;2001;21/1/2001;USA;601450838;290849136;601450838;79286049;153575596;52;48;10533;721;Ryan Tate;David Hart
88;Fly baby;Drama;2010;1/12/2010;USA;17473189;202828672;297975768;56754678;83085794;68;58;3871;50;William Walker;Becky Dean
89;Ask clearly if;Romance;2018;3/6/2018;USA;1998635203;589236494;9002027371;1594140676;3392031035;49;71;36798;50;Michael Richards;Jorge Kennedy
90;Speech about someone;Comedy;2017;9/3/2017;USA;263553128;777189685;1278675518;185356236;335024059;89;80;4238;6086;Brian Robinson;Christopher Rodgers
91;Report physical candidate;Comedy;2016;27/2/2016;Germany;141513762;3492555909;5768213227;961738657;2032967297;49;39;27289;79;William Carpenter;Christopher Benson
92;You discover;Romance;1991;20/1/1991;USA;170215301;319566591;496695955;46084071;160840086;85;83;8090;18542;Mark Moody;Alison Clark
93;Alone day official;Romance;1988;18/9/1988;France;68170943;194218428;319072065;19744769;84945752;86;82;12762;5849;Michael Chung;Sharon Brady
94;Choose common;Horror;1998;12/7/1998;USA;215275098;148985228;283434876;15655586;8193325;71;67;78355;657;Patricia Munoz;Stephen Cooper
95;Wonder young must;Action;2008;26/5/2008;USA;905609768;481254241;1009005854;131115744;237928537;45;44;64113;77;Caitlin Brewer;Ashley Gilmore
96;All lot;Drama;2022;24/11/2022;USA;198774741;177471527;425544283;29297159;87557786;76;88;2444;2487;Emily Miller;Jorge Kennedy
97;Lay fill mind;Horror;1957;24/2/1957;USA;309079331;979278827;1405885084;166637961;51154751;52;36;368;4183;Bryan Murray;Joseph Gonzalez
98;Hold;Thriller;1994;9/5/1994;USA;618497486;1600235236;2620704779;273315699;938155094;3;32;221;243;Ryan Tate;Mark Jones
99;However listen each;Thriller;2022;1/4/2022;USA;1261385933;1855718728;3838633163;294709586;971616088;84;100;5052;33850;Jacqueline Briggs;Brittany Kelly
100;Best something last;Comedy;2001;20/9/2001;USA;1607995721;758758653;1607995721;198329364;312304637;69;63;128347;121;Melissa Hernandez;Pamela Frey
101;Hair significant fear;Drama;2004;11/10/2004;UK;786214777;487451315;980276193;105455057;201957009;77;58;1748;1944;Jeffrey Neal;Noah Harrison
102;Per;Drama;1996;27/4/1996;USA;337104388;333946573;673036336;67204971;167274251;52;62;2688;2768;Adriana Campbell;Amy Gomez
103;Story when should;Sci-Fi;1982;12/8/1982;USA;3662111233;9560804201;1456231695;964920126;4776904368;6;73;2151;128;Mary Mitchell;Melissa Melendez
104;Market he suggest;Action;1982;23/11/1982;USA;520680507;692976771;1630474483;181901766;368662174;68;49;6809;600;Michelle Collins;Amber Willis
105;Ever standard fill;Drama;2005;3/6/2005;USA;361162964;197487218;361162964;22287211;108017844;8;77;608;50;Michael Richards;Dawn Blake
106;Debate clear light do;Thriller;1992;10/11/1992;USA;703418913;1214187941;2690339487;305457132;646537956;9;78;4973;360;David Perez;Derrick Smith
107;Difference sport face;Comedy;2013;14/2/2013;USA;1836608781;180002264;3123845283;349102821;1037409007;57;47;8982;1909;Jeremy Ray;Peter Sanders
108;Official together sure;Thriller;2015;10/1/2015;USA;23113646;671254037;962949696;154326452;314044479;64;60;1002;82;Michelle Collins;Kristin Cook
109;Cut success;Drama;2000;17/4/2000;USA;1058264047;2526314382;4590625136;5380654321;1411533082;68;64;12175;80;Janice Taylor;Daryl Douglas
110;Itself role;Comedy;2000;4/1/2000;USA;396023264;482333807;1142217725;101198559;239108799;64;76;17403;50;Michael Manning;Teresa Davis
111;Everybody provide skin occur;Action;1995;18/12/1995;Canada;1090055891;879436156;1753727592;157297369;38259569;71;70;6820;50;Patricia Munoz;Melissa Mcgee
112;Bar;Action;2001;23/8/2001;USA;146711607;242793173;448717096;42165806;142046426;6;49;20081;50;Dr. Jonathan Long;Leonard Contreras
113;Health administration;Sci-Fi;2000;15/9/2000;USA;153762571;324376422;598064657;83451597;173553531;61;60;235;618;David Lee;Michelle Thomas
114;Old course;Thriller;1965;11/4/1965;Japan;5256515;31516913;58951963;6741001;17817432;66;69;5833;90;James Miller;Catherine Rogers
115;Poor case;Horror;2002;3/10/2002;Canada;2903889056;6426969986;9301193918;1702053862;3368487644;7;77;1597;50;Melanie Olson;Shawn Washington
116;These example yourself;Comedy;1997;20/8/1997;USA;248918102;447763353;875554121;113624081;253427241;73;76;29252;353;Jennifer Miller;Heather Williams
117;Dinner instead particularly;Drama;2013;16/6/2013;USA;467226246;460335826;999264231;90528269;273029672;7;67;1842;50;Tracy Tucker;Patricia Keller
118;Strong summer;Documentary;2003;6/1/2003;USA;271415697;15617624;271415697;27736756;80400083;5;43;10572;888;Hannah Camacho;Paul Glover
119;Course now;Comedy;1985;3/5/1985;USA;1702792654;1118996305;1702792654;257851736;452757468;64;61;1892;16043;Philip Simmons;Teresa Santos PhD
120;Doctor;Comedy;1986;29/9/1986;USA;860201564;410166839;914050214;83613316;18851491;84;92;1098;66;Paul Rogers;Stephen Cooper
121;Ago every boy;Thriller;2010;6/9/2010;France;1742739109;2718165618;6349934457;773746674;1630364292;63;71;3891;3800;Ashley Medina;Daniel Callahan
122;Member;Drama;1994;6/6/1994;UK;44144974;21862834;44144974;5733677;10815234;8;68;1198;1553;Suzanne Gonzalez;Mark Smith
123;Use area many;Comedy;2019;7/6/2019;China;667601102;827899076;1533980835;102391691;444625435;66;69;2714;308;Michelle Collins;Terry Martinez
124;Every place notice;Comedy;2021;24/3/2021;China;718431079;2087848802;3229950395;509358813;1026113067;57;55;6991;1029;Mary Mitchell;Russell Martin
125;Market;Action;2014;10/10/2014;USA;80486037;139084047;245756574;32475163;70761824;59;59;989;304;Jennifer Atkinson;Leonard Contreras
126;Within;Horror;2006;6/6/2006;USA;384461963;788824967;1739017485;13838741;4194181;72;70;6905;50;Mark Moody;Valerie Dennis
127;Year final;Action;2014;28/5/2014;USA;40397111;20748537;40397111;3810337;9662431;78;87;1998;272;Karen Barrett;John Strickland
128;Chair deep development;Thriller;1959;13/7/1959;USA;102788179;172576797;252021732;30069341;78518374;72;95;18806;258;Donna Hall;Shawna Bryant
129;Expert get;Comedy;2004;18/11/2004;USA;673879695;679568764;1106046426;80379287;308589119;8;84;25966;1124;Chad Peters MD;Lucas Collins
130;Save better;Thriller;1996;5/10/1996;USA;681028305;1124010316;2586172172;13262852;520327394;74;76;2709;50;Michael Chung;David Lopez
131;Design than a;Drama;1962;31/8/1962;USA;4439005955;8089675637;1597391487;1255536883;4741710478;45;36;5097;8034;Donna Hall;Becky Dean
132;Clear trial some society;Romance;2013;26/10/2013;Australia;57136413;81770473;1366545906;108079314;355228878;54;68;4078;425;Charlotte Williams;Andrew Walker PhD
133;Up instead avoid;Drama;2011;12/10/2011;UK;477677909;788745459;1132965259;135622602;331826483;10;87;14592;59;Janice Taylor;Thomas Sims
134;Amount manager reflect detail;Comedy;1964;9/11/1964;USA;35144584;33190775;56644347;8402811;18190751;44;53;1462;50;Christopher Roach;Samantha Vargas
135;Possible yet;Comedy;2017;23/1/2017;Japan;16842447;21265728;305306;5521729;11376643;67;82;1717;1037;Tyler Sanchez;Leonard Contreras
136;Picture would bad student;Sci-Fi;1992;3/11/1992;USA;5280558155;4762741253;8178832986;1321475083;2527426252;6;63;12626;565;Mark Moody;Jamie Cunningham
137;Message remember model everything;Romance;1960;7/2/1960;UK;568272438;251911622;568272438;26265429;139960996;68;60;7652;50;James Miller;Deanna Johnson
138;Yet property fall;Horror;2006;5/3/2006;USA;146971185;32761563;697569216;51371425;186029477;46;43;6891;257;Julie Maxwell;Timothy George
139;This before;Comedy;1988;27/10/1988;USA;237785668;249952088;370908601;44630892;126000656;44;45;1124;55;Brenda Smith;Christopher Rodgers
140;Machine operation;Horror;2006;8/4/2006;India;210694515;255602163;415881971;35639958;13802632;64;79;8081;546;Robin Hooper;Melissa Mcgee
141;Shake too;Horror;1964;3/4/1964;USA;47138147;26887733;47138147;7312011;12481125;48;33;972;114;Anthony Rowland;Christopher Hurst
142;Identify nice;Comedy;2009;1/10/2009;USA;83301726;255588632;379167053;26050472;110837362;53;48;2078;114;Jennifer Atkinson;Kristy Faulkner
143;Decide body minute;Comedy;2001;10/10/2001;Japan;39759144;4964739;83429171;6498767;26357168;55;55;4277;50;Darlene Murphy;Chelsea Armstrong
144;Than appear middle;Comedy;2019;10/11/2019;India;61056953;40181448;61178952;8165004;1858399;45;56;1588;312;Matthew Beck;Daniel Callahan
145;Itself social;Comedy;2017;14/3/2017;USA;490231338;313586414;506378733;55085459;136466999;47;49;1006;547;Ryan Tate;Benjamin Mitchell
146;Yet;Comedy;1986;30/6/1986;USA;153249538;190994158;4707878098;4878263191;9197478017;5;47;1576;234;Jeremy Davis;Kristina Krause
147;Green;Drama;2015;30/8/2015;USA;70897773;110515804;25795898;3005852;64944587;9;94;292;1572;James Miller;Anthony Cross
148;When;Comedy;1961;14/8/1961;USA;7023616;10350029;240503881;24867597;43356855;9;93;1304;2971;Benjamin Ray;Andrew Walker PhD
149;Example center man;Comedy;1997;21/2/1997;USA;459651473;532300382;80272508;106437483;30325675;44;43;936;473;Brandon Fuller;Cynthia Little
150;Conference why final;Romance;2018;29/7/2018;USA;100000;20272555;38380638;583077;8874714;88;93;10953;546;William Carpenter;Tami Miranda
151;Civil prove space;Thriller;2002;4/6/2002;USA;720761059;1086628337;2639957433;122006951;577834811;78;89;6280;50;Jennifer Miller;Jeffrey Holloway
152;Letter itself girl guy;Thriller;2014;2/3/2014;USA;388097309;759280997;1747681365;183513049;442280123;82;78;5010;127;Gary Simmons;Mathew Castillo
153;Us check artist;Documentary;1999;24/11/1999;USA;331756079;494274469;783797549;77570075;2922027;75;69;2071;261;Sonya Clark;Nicole Dawson
154;Black;Romance;2008;16/5/2008;USA;535804563;1268917164;1952454988;309458462;744926302;6;52;550;223;Daniel Brown;Mary Wolfe
155;Forward;Romance;2006;2/9/2006;USA;256841032;242153378;413149629;35485793;121457237;77;72;5806;4217;Amber Anderson;Mr. Michael Snyder
156;Citizen fight maintain;Romance;1971;5/8/1971;USA;164523088;230114228;424115797;66499386;132964581;67;57;100;778;Suzanne Gonzalez;Donald Franco
157;Apply;Thriller;1980;23/3/1980;Germany;907683431;955688393;1553753972;19203226;41478291;71;54;7637;201;Amber Anderson;Daniel Thompson
158;Hotel bring;Drama;1998;24/9/1998;USA;614818005;1193601434;2242134962;351400473;71236307;7;77;1813;763;Barbara Torres;Kimberly Johnson
159;Occur wrong;Horror;1982;15/2/1982;USA;60118021;154958715;277511019;4515804;8418962;81;96;5564;724;Jerry Owens;Dustin Jackson
160;Despite relationship;Drama;1981;16/10/1981;UK;262659798;505750223;945513638;107949044;247661813;81;98;4205;288;Sara Higgins;Jimmy Smith
161;Church nearly;Action;2014;24/8/2014;USA;1888458008;2005184418;4471523932;285688173;91932546;75;67;4634;132;Kimberly Barker;Miss Jennifer Parsons
162;Imagine leader receive;Horror;1979;16/6/1979;USA;467321675;726365697;1277588113;115211362;382252666;79;64;10357;206;Mrs. Hannah Campbell DDS;Lauren Horton
163;Sign low race;Drama;1994;21/2/1994;USA;54528261;1405307641;2401852833;272639501;798573047;94;84;5837;50;Rachel Kirby;Brian Mccormick
164;However;Drama;2024;14/1/2024;USA;3917095;201640717;3917095;20519816;1039096;61;70;729;1321;Samantha Campbell;Ian Williams
165;Suggest fund;Thriller;1989;29/9/1989;Canada;32996379;28401529;4801214;4581987;11644721;78;81;23359;42891;Jeffrey Myers MD;Matthew Simmons
166;Consumer miss themselves;Drama;1970;25/5/1970;USA;48082246;31092384;69322468;8094525;12829372;72;55;1089;438;Troy Cochran;David Castillo
167;Several;Comedy;1989;3/12/1989;USA;1340644123;1807452098;4004607056;33134397;1004491868;57;62;588;248;William Banks;Sydney Jordan
168;Charge into;Comedy;1959;7/4/1959;USA;47904541;40280024;71214052;7999002;16554587;64;67;924;2017;Julie Maxwell;Brittany Kelly
169;Different about dinner;Horror;1995;29/7/1995;Germany;437387587;40675388;938380775;63427297;217136472;65;79;2725;152;Janice Taylor;Stephanie Cervantes
170;Language figure bill;Thriller;2022;7/4/2022;UK;37418417;79444526;11588304;832862;34896152;6;55;4101;139;Dr. Michael Monroe;Ashley Juarez
171;President these plant;Comedy;1980;1/9/1980;USA;759224692;1574380267;3381540133;246686496;741038362;89;89;8013;876;Robert Webster;Andrea Bowers
172;Give material room;Horror;2017;8/3/2017;USA;56468505;62277943;137185456;8360102;3573141;69;78;763;82;Brooke Morales;Cynthia Little
173;Environment explain;Documentary;1989;15/11/1989;USA;42313512;76613707;18196236;20519801;38830963;61;55;1897;188;Bryan Murray;Kimberly Smith
174;East suddenly notice;Documentary;2008;21/8/2008;USA;198039561;251675256;430869548;63543733;140973085;68;73;4217;50;Faith Franklin;Jeanette Archer
175;Alone second expect;Drama;2005;3/4/2005;USA;1481824051;2737217988;6331489394;561456059;1361257076;38;40;4899;1101;Kayla Young;Lawrence Thomas
176;Detail;Thriller;1991;7/6/1991;India;148015456;201958978;377437787;25412399;84658485;88;71;1183;2127;Benjamin Ray;Ashley Reeves
177;Response mission professor;Comedy;1990;17/6/1990;USA;17487606;20812179;31503159;5932358;8642908;88;80;2946;466;Darrell Carlson;Joshua Willis
178;Hear statement;Action;1999;7/12/1999;USA;944373225;1464042631;2162513768;318865026;852268096;67;58;6989;50;David Morris;Mary Wolfe
179;Low fire strategy;Drama;1996;23/6/1996;USA;1066906097;2471617611;4741509686;375700679;1393121755;61;76;3945;94;Karen Smith;Jennifer Cook
180;Base buy;Thriller;1996;3/2/1996;USA;825360451;531684391;825360451;126085678;265831535;56;58;2105;2900;Michelle Collins;Eric Cooper
181;Arrive teacher firm north;Horror;2007;30/5/2007;China;230226463;388587297;712913254;8650434;179755912;39;54;694;680;Jessica Singh;Christopher Tucker
182;Lawyer beat foot;Romance;1971;29/4/1971;USA;3625037918;2745901186;5576222181;556623386;1552071919;74;73;5544;242;David Perez;Eric Obrien
183;Value something;Drama;2008;18/2/2008;France;8495866;44016113;8495866;4840998;2019747;72;69;3056;1677;William Carpenter;Joseph Contreras
184;Adult far surface;Comedy;1988;9/2/1988;Australia;12547983;26266792;51727513;7583558;13092362;78;71;10043;50;Renee Campbell;Melissa Cunningham
185;Black;Thriller;2007;19/10/2007;Canada;16991716;9894547;16991716;1177014;5766772;67;47;4298;317;Jerry Owens;Anthony Rhodes
186;Agree hour;Action;1992;7/2/1992;USA;141956407;342259807;574062953;62122941;179015551;68;38;61619;250;Jeffrey Neal;Christopher Hurst
187;Carry story;Horror;2011;15/10/2011;UK;1442399749;895467884;1442399749;245910984;43152529;65;79;551;287;Jerry Owens;Duane Fletcher DDS
188;Benefit ten;Horror;1964;17/6/1964;USA;15193102;115146987;224009293;22208772;50421785;7;58;24538;2602;Albert Phillips;David Hart
189;Accept magazine whole;Drama;2004;19/12/2004;USA;856142159;526371076;856142159;100086927;211548646;66;64;18340;7701;Charlotte Williams;Jennifer Moore
